,Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses
59,TCSA3,0.68,-1.94,0.53,1.368,0.0,0.29100000000000004,1.32,-9.58,-12.4,-10.02,-11.83,-0.1428,-0.7169,2.08,-0.0378,-0.2742,38736800.0
60,DMMO3,0.89,-1.9,-0.5,0.5489999999999999,0.0,0.179,-1.0,-21.54,-0.15,-80.69,17.1,-0.0255,-0.2888,0.48,-0.0095,0.2622,6273080.0
61,TESA3,9.79,-1.57,0.22,0.221,0.0,0.085,-3.64,-121.57,-0.26,-568.47,19.76,-0.0018,-0.1402,0.93,-0.0008,-0.1429,1705480.0
62,RPMG3,3.11,-1.41,-0.08,0.193,0.0,0.10099999999999999,-0.1,-1.26,-0.07,-1.26,-1.32,-0.1526,-0.1371,0.47,-0.0821,0.0572,94820.6
63,LUPA3,1.23,-1.18,0.31,0.9420000000000001,0.0,0.061,0.27,-0.96,-0.14,-5.42,-8.24,-0.9812,-0.8011,2.69,-0.0658,-0.2629,774440.0
64,CORR4,69.0,-0.92,-0.4,0.8029999999999999,0.0,0.134,0.2,-0.83,-0.21,0.79,0.8,-0.9628,-0.8739,22.21,-0.2169,0.4386,516.67
65,TPIS3,1.0,-0.91,0.25,0.177,0.0,0.047,-0.26,-3.88,-0.06,-44.88,5.65,-0.0458,-0.2182,0.26,-0.0127,-0.2692,1119280.0
66,JBDU3,2.06,-0.88,0.15,0.0,0.0,0.054000000000000006,0.0,-0.95,0.0,-1.37,-1.37,0.0,0.0,0.0,0.0,-0.1732,10879.8
67,JFEN3,3.26,-0.84,1.02,3.472,0.0,0.196,0.71,-2.33,-4.25,-6.42,-6.48,-1.4916,-4.331,1.52,-0.0878,-1.209,569348.0
68,MNPR3,3.85,-0.83,-0.07,0.11599999999999999,0.0,0.13699999999999998,-0.07,0.57,-0.05,0.58,0.51,0.2028,-0.1402,0.13,0.2489,0.084,6366.67
69,HBTS5,9.01,-0.8,0.35,-12.054,0.009000000000000001,0.069,-3.32,-0.8,-0.1,-1.93,-1.96,15.0458,15.0831,0.84,-0.0865,-0.442,3699.74
70,ESTR4,38.98,-0.77,-0.07,0.281,0.0,0.153,-0.07,-4.68,-0.05,-11.84,-26.62,-0.0601,-0.3644,0.16,-0.0369,0.0854,4639.05
71,TECN3,1.17,-0.75,0.27,0.29,0.0,0.136,0.4,-2.69,1.5,-3.89,-2.86,-0.1081,-0.3879,2.41,-0.0643,-0.3561,471670.0
72,BBRK3,1.73,-0.7,0.25,0.461,0.0,0.156,2.03,-4.29,-1.26,-0.46,-3.26,-0.1074,-0.5199,1.49,-0.0426,-0.3578,670176.0
73,OIBR4,0.92,-0.61,0.31,0.272,0.0,0.076,0.89,-3.63,-0.15,-14.21,4.0,-0.0749,-0.4517,1.52,-0.0236,-0.5099,3073830.0
74,JBDU4,1.17,-0.5,0.09,0.0,0.0,0.031,0.0,-0.54,0.0,-0.96,-0.96,0.0,0.0,0.0,0.0,-0.1732,55124.9
75,IGBR3,1.83,-0.35,-0.03,4.336,0.0,0.092,-0.26,-2.11,-0.02,-88.62,-106.61,-2.0585,-12.2224,0.03,-0.0473,0.0714,43590.2
76,OIBR3,0.51,-0.34,0.17,0.151,0.0,0.042,0.49,-2.01,-0.08,-12.59,3.54,-0.0749,-0.4517,1.52,-0.0236,-0.5099,143207000.0
77,HOOT4,1.99,-0.27,-0.1,0.402,0.0,0.077,-0.07,-0.36,-0.04,-0.35,-0.4,-1.1197,-1.5019,0.04,-0.2186,0.3765,16381.7
78,LIQO3,4.3,-0.24,-0.61,0.11699999999999999,0.0,0.078,-0.43,-0.39,-0.08,-1.87,-3.04,-0.303,-0.4896,0.49,-0.2367,2.5517,47945.3
79,RSID3,4.28,-0.24,-0.13,1.208,0.0,0.036000000000000004,-0.08,-0.79,-0.04,-15.8,-17.29,-1.5278,-5.1221,0.49,-0.0507,0.5671,1383850.0
80,VIVR3,1.08,-0.23,-0.37,-0.34600000000000003,0.0,0.098,-0.21,-0.73,-0.11,-3.51,-3.68,0.4726,1.5168,0.45,-0.1392,1.6437,928049.0
81,MWET4,3.1,-0.16,-0.03,0.036000000000000004,0.0,0.037000000000000005,-0.05,-0.47,-0.02,-5.95,-8.92,-0.0756,-0.2184,0.25,-0.0941,0.1877,5580.88
82,AZEV3,3.61,-0.15,-0.09,0.799,0.0,0.355,-0.12,-0.37,-0.08,-0.94,-1.0,-2.1509,-5.3319,0.11,-2.1121,0.5903,17765.2
83,SLED3,1.17,-0.14,-0.26,0.068,0.0,0.053,-1.52,-0.33,-0.06,-3.72,-9.46,-0.2046,-0.475,0.89,-0.1855,1.8419,62498.5
84,INEP3,7.45,-0.14,-0.04,2.25,0.0,0.042,-0.03,-0.2,-0.02,-2.38,-2.53,-11.0721,-13.9961,0.14,-0.2223,0.2518,54570.9
85,INEP4,7.3,-0.14,-0.03,2.205,0.0,0.040999999999999995,-0.03,-0.2,-0.02,-2.38,-2.53,-11.0721,-13.9961,0.14,-0.2223,0.2518,111992.0
86,RNEW3,3.66,-0.13,-0.18,0.6829999999999999,0.0,0.066,-0.07,-0.81,-0.05,-8.72,-9.48,-0.8405,-5.1143,0.01,-0.0945,1.344,15682.1
87,BDLL4,7.01,-0.11,0.89,0.207,0.0,0.013000000000000001,-0.07,-0.22,-0.02,-4.73,-5.66,-0.9361,-1.9335,0.62,-0.0683,-8.3133,16602.9
88,RNEW11,8.4,-0.1,-0.14,0.522,0.0,0.05,-0.05,-0.62,-0.04,-8.53,-9.28,-0.8405,-5.1143,0.01,-0.0945,1.344,45608.2
89,SLED4,0.8,-0.1,-0.18,0.047,0.0,0.037000000000000005,-1.04,-0.23,-0.04,-3.61,-9.2,-0.2046,-0.475,0.89,-0.1855,1.8419,95461.6
90,SNSY5,90.0,-0.1,-0.01,0.038,0.0,0.046,-0.11,-0.2,-0.01,-1.17,-1.46,-0.1908,-0.4057,0.55,-0.2765,0.1467,12341.9
91,RNEW4,2.58,-0.09,-0.13,0.48100000000000004,0.0,0.046,-0.05,-0.57,-0.03,-8.48,-9.22,-0.8405,-5.1143,0.01,-0.0945,1.344,23380.6
92,AZEV4,2.2,-0.09,-0.05,0.48700000000000004,0.0,0.21600000000000003,-0.07,-0.23,-0.05,-0.79,-0.85,-2.1509,-5.3319,0.11,-2.1121,0.5903,82592.3
93,MMXM3,1.57,-0.08,-0.01,8.142000000000001,0.0,0.083,0.0,-0.1,0.0,-1.9,-1.9,-82.2678,-96.4788,0.0,0.0,0.1645,26404.4
94,TEKA3,7.7,-0.03,-0.0,0.026000000000000002,0.0,0.004,-0.0,-0.31,-0.0,-38.43,-66.16,-0.0827,-0.8676,0.03,-0.0199,0.0825,464.36
95,PDGR3,3.3,-0.03,-0.01,0.08900000000000001,0.0,0.013999999999999999,-0.01,-0.26,-0.0,-15.16,-15.71,-0.3447,-3.0306,0.4,-0.0621,0.1851,349082.0
96,TEKA4,6.95,-0.03,-0.0,0.024,0.0,0.004,-0.0,-0.28,-0.0,-38.4,-66.11,-0.0827,-0.8676,0.03,-0.0199,0.0825,98932.9
97,OSXB3,3.41,-0.02,-0.0,0.894,0.0,0.005,-0.02,-0.5,-0.0,-201.14,-614.52,-1.7869,-47.3344,0.03,-0.0121,0.124,18053.8
98,BBSE3,25.78,0.0,0.0,0.0,0.1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193666000.0
99,CSAB3,39.21,0.0,0.0,0.0,0.0791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.67
100,CSAB4,43.9,0.0,0.0,0.0,0.0777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.86
101,IRBR3,10.1,0.0,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523229000.0
102,TAEE11,26.76,0.0,1.84,0.0,0.0707,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96057900.0
103,TAEE3,9.11,0.0,1.88,0.0,0.0692,0.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356748.0
104,TAEE4,8.88,0.0,1.84,0.0,0.071,0.8170000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668552.0
105,NUTR3,38.0,0.14,0.38,0.077,0.0,0.083,0.45,-3.6,-0.29,-12.0,-19.22,-0.0213,0.5433,1.6,-0.0279,2.6855,2277.14
106,FHER3,2.02,0.17,3.47,0.092,0.0,0.069,0.42,-0.76,-0.14,-1.75,-2.21,-0.1219,0.5529,1.51,-0.1085,20.8132,670553.0
107,HETA4,3.53,0.52,-0.0,1.6380000000000001,0.0,0.182,-0.05,2.44,-0.0,441.65,441.65,0.6724,3.1265,0.01,0.0756,-0.009000000000000001,15394.4
108,MTIG4,50.0,0.88,0.31,0.092,0.0088,0.094,-0.41,185.31,-0.26,1128.71,16.39,0.0005,0.1044,0.6,0.0005,0.3583,1003.48
109,TXRX4,5.2,1.03,-0.08,0.21100000000000002,0.0,0.12,-0.08,2.71,-0.05,27.9,17.41,0.0777,0.2038,0.18,0.0673,-0.0735,46765.5
110,GPIV33,3.65,1.34,0.27,0.47,0.0,0.12,0.6,0.65,1.54,-0.44,-0.44,0.7284,0.6431,4.37,0.2356,0.2033,1507200.0
111,CTNM4,4.6,1.39,0.14,0.11900000000000001,0.0,0.032,0.59,0.39,-0.15,3.95,3.02,0.3069,0.1761,1.18,0.0926,0.0985,540714.0
112,CTNM3,6.7,2.03,0.2,0.17300000000000001,0.0,0.047,0.87,0.57,-0.22,4.13,3.16,0.3069,0.1761,1.18,0.0926,0.0985,4467.31
113,TXRX3,10.21,2.03,-0.15,0.414,0.0,0.23600000000000002,-0.17,5.33,-0.1,30.52,19.04,0.0777,0.2038,0.18,0.0673,-0.0735,344.21
114,LIGT3,10.6,2.43,0.52,0.24100000000000002,0.0122,0.135,18.24,2.34,-0.26,7.5,5.26,0.1027,0.0992,1.03,0.0701,0.2131,62286200.0
115,CEAB3,8.6,2.73,0.97,0.502,0.0001,0.439,2.12,6.85,-8.9,9.8,4.27,0.0732,0.1839,1.71,0.0809,0.3548,26511700.0
116,SMLS3,14.3,2.83,1.47,1.689,0.2489,0.616,1.23,2.47,1.64,0.84,0.81,0.6834,0.5962,2.09,0.4507,0.52,37075800.0
117,BAZA3,29.2,3.14,0.39,0.0,0.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252,148889.0
118,CGRA3,20.38,3.16,0.7,0.853,0.086,0.474,2.14,9.62,4.46,7.97,5.2,0.0886,0.2694,2.07,0.0594,0.2209,62138.3
119,CGRA4,22.14,3.44,0.76,0.9259999999999999,0.0791,0.515,2.33,10.46,4.84,8.8,5.75,0.0886,0.2694,2.07,0.0594,0.2209,433248.0
120,ELET3,25.26,3.7,0.56,1.429,0.027999999999999997,0.223,2.63,5.44,-0.61,10.26,8.22,0.2627,0.3875,1.59,0.0454,0.1509,183740000.0
121,RSUL4,115.0,3.87,-25.62,0.39899999999999997,0.0,0.354,-1.13,2.72,-0.49,2.89,2.38,0.1465,0.10300000000000001,0.48,0.1358,-6.6122,1945.24
122,BSLI4,45.0,3.9,0.94,0.0,0.1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2411,107.14
123,BNBR3,79.28,3.94,1.26,0.0,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,81747.3
124,BRSR6,13.15,4.0,0.69,0.0,0.0896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,38650500.0
125,ELET6,28.34,4.16,0.63,1.604,0.0425,0.251,2.95,6.1,-0.68,10.93,8.75,0.2627,0.3875,1.59,0.0454,0.1509,123600000.0
126,BRSR3,13.96,4.25,0.73,0.0,0.0844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,93077.8
127,CMIG4,9.17,4.28,0.84,0.527,0.0791,0.268,6.01,2.72,-0.56,5.47,4.58,0.1935,0.1232,1.28,0.1055,0.1969,152927000.0
128,ROMI3,8.9,4.31,0.74,0.731,0.1292,0.409,1.53,22.23,3.68,30.22,12.95,0.0329,0.1697,1.92,0.0216,0.1712,3539370.0
129,CMIG3,9.41,4.39,0.86,0.541,0.0771,0.275,6.17,2.79,-0.57,5.54,4.64,0.1935,0.1232,1.28,0.1055,0.1969,25137200.0
130,EALT4,3.34,4.46,0.46,0.251,0.0418,0.204,7.21,2.67,-0.98,5.47,4.02,0.0941,0.0563,1.09,0.0811,0.1035,170804.0
131,BGIP4,25.4,4.64,0.89,0.0,0.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927,46516.0
132,BMEB4,10.89,4.7,0.64,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368,207573.0
133,BBAS3,29.65,4.75,0.86,0.0,0.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18100000000000002,755371000.0
134,CRPG6,19.0,5.02,0.95,0.9359999999999999,0.0,0.698,1.07,7.14,1.37,4.59,3.44,0.131,0.1865,6.2,0.1389,0.1903,24584.1
135,CLSC4,37.0,5.03,1.01,0.17800000000000002,0.0662,0.15,-20.5,3.74,-0.25,6.61,4.14,0.0476,0.0354,0.97,0.0481,0.2015,1041040.0
136,CRPG5,19.15,5.06,0.96,0.943,0.0,0.7040000000000001,1.08,7.2,1.38,4.65,3.48,0.131,0.1865,6.2,0.1389,0.1903,299687.0
137,MYPK3,11.2,5.1,0.53,0.172,0.0758,0.184,2.22,2.74,-0.68,6.57,3.94,0.0628,0.0421,1.3,0.0828,0.1045,39038600.0
138,BSLI3,60.0,5.2,1.25,0.0,0.0755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2411,416.69
139,SGPS3,4.89,5.35,0.18,0.172,0.0,0.07400000000000001,0.78,3.65,-0.39,16.16,6.78,0.0471,0.0321,1.33,0.0228,0.033,1127900.0
140,PETR4,16.82,5.47,0.74,0.726,0.0559,0.237,-54.23,2.29,-0.43,5.6,3.37,0.3176,0.1356,0.97,0.1103,0.1358,1987660000.0
141,PETR3,16.86,5.48,0.74,0.728,0.0297,0.23800000000000002,-54.36,2.29,-0.43,5.6,3.38,0.3176,0.1356,0.97,0.1103,0.1358,852007000.0
142,FESA4,13.79,5.51,0.66,0.9520000000000001,0.0978,0.44299999999999995,2.78,10.38,-5.68,13.1,5.07,0.0917,0.1731,2.71,0.0469,0.1207,5491150.0
143,CSNA3,7.17,5.56,0.98,0.391,0.1325,0.196,9.0,1.87,-0.37,6.43,5.0,0.2091,0.0882,1.1,0.1205,0.1758,144514000.0
144,PRIO3,24.7,5.62,1.9,2.173,0.0,0.652,-15.16,7.67,-1.66,10.91,5.53,0.2835,0.3867,0.86,0.0999,0.3385,141404000.0
145,ABCB4,13.6,5.62,0.73,0.0,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308,14530200.0
146,GPCP3,22.8,5.73,0.8,0.179,0.0085,0.17600000000000002,3.05,4.97,-0.41,11.24,6.75,0.0361,0.0277,1.21,0.0371,0.1403,197067.0
147,EUCA4,4.19,5.91,0.29,0.254,0.0109,0.16899999999999998,4.48,2.55,-1.35,5.28,2.81,0.0997,0.043,1.14,0.0719,0.0495,375156.0
148,ELET5,41.0,6.01,0.91,2.32,0.0,0.36200000000000004,4.27,8.83,-0.98,13.65,10.94,0.2627,0.3875,1.59,0.0454,0.1509,796.07
149,CAMB3,2.9,6.02,1.64,0.5539999999999999,0.0,0.501,9.86,5.12,-2.07,8.06,6.2,0.1082,0.0919,1.13,0.1069,0.2721,522842.0
150,TGMA3,17.71,6.03,2.03,0.868,0.0887,1.186,6.48,5.8,30.18,6.55,5.81,0.1495,0.14400000000000002,1.67,0.2284,0.3373,13125900.0
151,EKTR3,15.4,6.03,1.12,0.441,0.0242,0.379,3.45,2.92,-1.12,5.88,4.84,0.1509,0.0731,1.51,0.1576,0.1856,796.64
152,WHRL4,7.15,6.05,3.56,1.3880000000000001,0.0804,1.4069999999999998,6.62,29.22,8.37,26.39,18.7,0.0475,0.2294,1.38,0.1042,0.5879,179701.0
153,CRPG3,22.99,6.07,1.16,1.1320000000000001,0.0,0.845,1.3,8.64,1.66,6.09,4.56,0.131,0.1865,6.2,0.1389,0.1903,737.91
154,WHRL3,7.19,6.09,3.58,1.396,0.0727,1.415,6.66,29.38,8.42,26.56,18.82,0.0475,0.2294,1.38,0.1042,0.5879,18089.8
155,ALUP4,6.24,6.16,1.1,1.195,0.024,0.28300000000000003,1.63,2.35,-0.86,4.34,4.14,0.5087,0.3574,2.61,0.155,0.17800000000000002,147740.0
156,IDNT3,2.07,6.22,1.84,0.0,0.0,0.531,0.0,-6.09,0.0,-5.49,-5.49,0.0,0.0,0.0,0.0,0.2964,260390.0
157,BRSR5,21.0,6.39,1.1,0.0,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,2320.19
158,TUPY3,12.54,6.48,0.76,0.35,0.0138,0.353,1.23,4.13,-13.16,5.6,3.21,0.0848,0.054000000000000006,2.31,0.1197,0.1168,15700800.0
159,CEBR3,54.0,6.54,0.99,0.28300000000000003,0.0009,0.21100000000000002,4.51,3.67,-0.82,3.84,3.01,0.0771,0.057,1.11,0.0701,0.1518,32777.4
160,BRML3,9.45,6.62,0.75,6.562,0.0962,0.441,12.48,9.04,-1.38,11.17,10.92,0.7258,1.0997,2.41,0.051,0.1129,203244000.0
161,BTTL3,4.32,6.64,6.36,0.136,0.0,0.49200000000000005,-42.1,5.02,-0.88,7.37,5.07,0.0272,0.0205,0.97,0.11699999999999999,0.9586,12477.7
162,SHUL4,7.35,6.76,1.06,0.619,0.0361,0.47,1.27,7.94,8.13,10.58,7.06,0.078,0.0916,2.51,0.0809,0.1567,5960540.0
163,EKTR4,17.5,6.85,1.27,0.501,0.0234,0.43,3.92,3.32,-1.28,6.28,5.17,0.1509,0.0731,1.51,0.1576,0.1856,22103.9
164,SAPR4,4.9,6.86,1.2,1.568,0.0596,0.62,-61.38,3.86,-1.61,5.32,4.53,0.4064,0.2287,0.91,0.1676,0.1749,14987800.0
165,BMEB3,16.0,6.91,0.94,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368,30314.7
166,WIZS3,9.34,6.98,7.98,2.19,0.1906,2.5469999999999997,-12.34,3.88,-5.86,3.76,3.41,0.5647,0.32799999999999996,0.53,0.773,1.1435,12079100.0
167,SAPR11,25.0,7.0,1.22,1.6,0.0574,0.633,-62.63,3.94,-1.64,5.4,4.59,0.4064,0.2287,0.91,0.1676,0.1749,72284800.0
168,VULC3,4.12,7.08,0.93,0.745,0.0,0.747,1.57,6.92,1.92,6.79,4.38,0.1076,0.1052,5.32,0.1169,0.1316,5382380.0
169,BRGE12,4.85,7.12,0.3,12.419,0.0,0.10800000000000001,0.29,-0.83,0.75,3.25,3.26,-14.9768,2.6536,2.52,-0.275,0.0421,3863.88
170,COCE3,37.09,7.13,0.93,0.537,0.0504,0.33299999999999996,26.24,5.45,-0.85,9.26,6.12,0.0985,0.0753,1.05,0.0694,0.13,696.02
171,TRPL4,19.18,7.17,1.07,3.824,0.0788,0.585,3.81,5.86,-4.35,6.15,6.09,0.6529,0.5384,3.05,0.115,0.1494,56733600.0
172,SAPR3,5.13,7.18,1.26,1.641,0.0518,0.649,-64.26,4.04,-1.69,5.5,4.68,0.4064,0.2287,0.91,0.1676,0.1749,1099060.0
173,BMGB4,4.48,7.21,0.66,0.0,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,17695000.0
174,SANB3,13.57,7.22,1.46,0.0,0.0922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,834215.0
175,CESP6,25.67,7.23,1.18,5.35,0.1066,0.65,131.71,38.9,-1.76,43.99,15.96,0.1375,0.7402,1.07,0.0177,0.1628,100052000.0
176,JHSF3,3.64,7.24,0.77,3.665,0.0189,0.4,4.66,13.94,-1.26,17.94,15.63,0.2629,0.513,2.16,0.032,0.1069,46093200.0
177,CEBR6,60.0,7.27,1.1,0.315,0.0009,0.235,5.02,4.08,-0.91,4.25,3.33,0.0771,0.057,1.11,0.0701,0.1518,43195.8
178,ENBR3,16.09,7.3,1.06,0.6409999999999999,0.0401,0.355,6.14,4.04,-0.99,6.4,5.05,0.1586,0.0973,1.28,0.1068,0.145,74586300.0
179,TASA3,3.59,7.31,-1.04,0.318,0.0,0.298,4.92,4.19,-0.47,13.62,10.51,0.0758,0.0434,1.1,0.0827,-0.1426,414073.0
180,BRGE3,5.0,7.34,0.31,12.802999999999999,0.0,0.111,0.3,-0.85,0.77,3.22,3.23,-14.9768,2.6536,2.52,-0.275,0.0421,2944.33
181,BRGE8,5.0,7.34,0.31,12.802999999999999,0.057999999999999996,0.111,0.3,-0.85,0.77,3.22,3.23,-14.9768,2.6536,2.52,-0.275,0.0421,114.38
182,SANB11,27.58,7.34,1.48,0.0,0.0953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,92590600.0
183,CRIV3,5.17,7.38,0.56,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0758,9585.9
184,BBDC3,20.68,7.38,1.25,0.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689,133937000.0
185,CESP3,26.48,7.46,1.21,5.519,0.1033,0.6709999999999999,135.87,40.13,-1.82,45.22,16.41,0.1375,0.7402,1.07,0.0177,0.1628,1621340.0
186,SANB4,14.08,7.49,1.52,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,1320300.0
187,ITSA4,9.24,7.54,1.41,15.517999999999999,0.0941,1.1520000000000001,20.42,415.59,-28.38,418.66,85.75,0.0373,2.1104,2.48,0.003,0.1867,390467000.0
188,ALUP11,22.9,7.54,1.34,1.4609999999999999,0.0197,0.34600000000000003,2.0,2.87,-1.05,4.86,4.64,0.5087,0.3574,2.61,0.155,0.17800000000000002,21971000.0
189,PTNT4,4.39,7.57,0.98,0.36700000000000005,0.0403,0.39299999999999996,3.28,6.72,-8.54,9.46,5.27,0.0546,0.078,1.36,0.0708,0.1298,202558.0
190,BEES3,5.13,7.58,1.01,0.0,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,239281.0
191,CPLE3,55.14,7.58,0.87,0.929,0.0469,0.39399999999999996,5.89,4.26,-1.18,6.69,5.12,0.2181,0.127,1.48,0.1052,0.1153,17010800.0
192,CLSC3,56.0,7.62,1.54,0.26899999999999996,0.0398,0.22699999999999998,-31.03,5.66,-0.38,8.53,5.34,0.0476,0.0354,0.97,0.0481,0.2015,1597.62
193,CPLE6,56.23,7.73,0.89,0.9470000000000001,0.0506,0.402,6.0,4.34,-1.2,6.78,5.18,0.2181,0.127,1.48,0.1052,0.1153,78949800.0
194,MTSA4,15.3,7.77,0.58,0.484,0.0523,0.45299999999999996,0.87,12.35,0.92,7.84,4.03,0.0392,0.0623,3.8,0.0523,0.0745,114254.0
195,CSMG3,46.5,7.81,0.87,1.143,0.0346,0.511,8.13,4.65,-2.0,6.85,4.64,0.2458,0.1463,1.65,0.1171,0.1119,49832800.0
196,BPAC5,11.31,7.85,1.38,0.0,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1759,18158.8
197,TASA4,3.88,7.9,-1.13,0.34299999999999997,0.0,0.322,5.32,4.53,-0.51,13.96,10.78,0.0758,0.0434,1.1,0.0827,-0.1426,3767440.0
198,BBDC4,22.39,8.0,1.35,0.0,0.0928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689,898556000.0
199,CVCB3,12.95,8.01,1.41,0.977,0.0342,0.27899999999999997,1.16,2.74,-3.75,4.35,3.63,0.3563,0.1156,1.49,0.1221,0.1762,128000000.0
200,BEES4,5.45,8.06,1.07,0.0,0.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329,45513.6
201,CIEL3,4.83,8.29,1.15,1.156,0.0429,0.14,1.5,6.7,-7.8,9.76,6.32,0.1726,0.1577,1.13,0.0748,0.139,105803000.0
202,ITUB3,22.75,8.35,1.69,0.0,0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,47976100.0
203,CSAN3,51.57,8.38,1.93,1.499,0.0196,0.619,3.93,9.87,-1.94,13.43,10.52,0.1519,0.1831,1.84,0.08199999999999999,0.2298,161338000.0
204,CAML3,7.75,8.42,1.27,0.5670000000000001,0.0244,0.532,1.72,11.35,15.95,16.76,11.4,0.0499,0.0673,2.02,0.0628,0.1508,13716700.0
205,LEVE3,17.0,8.42,1.67,0.863,0.1257,0.937,4.28,5.6,33.0,6.25,5.02,0.1541,0.1013,1.87,0.1938,0.1987,10460500.0
206,CEBR5,70.0,8.48,1.29,0.36700000000000005,0.0561,0.27399999999999997,5.85,4.76,-1.07,4.93,3.87,0.0771,0.057,1.11,0.0701,0.1518,1329.69
207,SBSP3,41.78,8.48,1.32,1.588,0.0277,0.615,-18.34,4.99,-1.43,6.91,5.27,0.3184,0.1873,0.76,0.1306,0.1556,197430000.0
208,RAPT3,6.09,8.5,1.24,0.414,0.0589,0.33299999999999996,0.94,3.78,-5.34,5.37,4.2,0.1093,0.059000000000000004,2.49,0.14,0.1463,133526.0
209,JBSS3,19.0,8.54,1.75,0.253,0.0001,0.41,3.85,3.94,-1.0,7.2,4.87,0.0644,0.0316,1.47,0.1332,0.2048,448582000.0
210,HAGA4,1.8,8.55,-0.28,0.909,0.0,0.381,0.98,-10.6,-0.25,-12.09,-66.75,-0.0858,0.1063,1.93,-0.0999,-0.0332,50645.1
211,TRPL3,23.0,8.6,1.28,4.585,0.0657,0.7020000000000001,4.57,7.02,-5.22,7.31,7.25,0.6529,0.5384,3.05,0.115,0.1494,138448.0
212,ITUB4,23.5,8.63,1.74,0.0,0.0856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,1284330000.0
213,CESP5,30.99,8.73,1.42,6.459,0.1186,0.785,159.01,46.96,-2.13,52.06,18.89,0.1375,0.7402,1.07,0.0177,0.1628,23091.7
214,ITSA3,10.71,8.74,1.63,17.987000000000002,0.0812,1.335,23.67,481.71,-32.9,484.77,99.29,0.0373,2.1104,2.48,0.003,0.1867,3755750.0
215,BGIP3,47.9,8.76,1.69,0.0,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927,2789.64
216,WLMM3,12.0,8.78,1.04,0.40299999999999997,0.0158,0.848,2.97,9.41,4.42,8.68,8.07,0.0429,0.0459,4.16,0.1002,0.1185,2864.55
217,FESA3,22.0,8.79,1.06,1.5190000000000001,0.0557,0.7070000000000001,4.44,16.55,-9.06,19.28,7.46,0.0917,0.1731,2.71,0.0469,0.1207,3869.31
218,TIMP3,13.31,8.9,1.44,1.854,0.0309,0.799,95.72,9.95,-3.41,9.67,3.74,0.1864,0.2084,1.04,0.0967,0.1615,149583000.0
