,Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses
382,WEGE3,38.3,49.78,9.22,6.022,0.0107,5.124,15.25,37.36,26.76,36.84,31.11,0.1612,0.1223,2.17,0.1878,0.1852,350900000.0
383,EQPA6,12.49,50.1,8.41,5.11,0.0,2.7439999999999998,13.23,23.63,-9.36,22.55,18.34,0.2163,0.102,2.2,0.1486,0.1678,29.74
384,ENGI3,12.65,50.41,4.03,1.153,0.0095,0.584,9.88,9.89,-1.0,16.11,10.75,0.1166,0.0265,1.31,0.067,0.0799,102279.0
385,ALPA4,25.99,55.76,5.78,4.117,0.0021,3.38,11.29,25.82,18.58,25.33,19.96,0.1595,0.0699,2.08,0.1642,0.1037,68201500.0
386,USIM6,9.5,55.82,0.85,0.7959999999999999,0.0084,0.452,1.99,10.27,-6.23,13.02,7.02,0.0775,0.0252,3.07,0.0506,0.0152,248.81
387,MGLU3,41.65,73.41,8.95,3.403,0.0035,3.4189999999999996,13.99,73.45,110.03,69.21,45.28,0.0463,0.0464,1.6,0.1012,0.1219,789875000.0
388,GNDI3,52.15,74.32,4.94,3.742,0.0032,2.394,8.89,33.47,-39.14,30.68,24.33,0.1118,0.0504,2.45,0.1145,0.0665,305018000.0
389,CCPR3,15.08,75.89,1.31,5.287999999999999,0.0,0.469,3.34,10.05,-2.18,14.51,12.32,0.5262,0.2055,3.88,0.0563,0.0172,9000280.0
390,CPRE3,15.3,82.54,1.76,4.137,0.0,0.675,-34.18,10.96,-1.36,16.65,8.82,0.3775,0.0555,0.85,0.0673,0.0213,2492.29
391,BIDI4,9.4,84.25,3.02,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,23834600.0
392,BIDI3,9.7,86.94,3.12,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,4831670.0
393,APER3,19.2,88.13,1.25,2.419,0.0,0.8440000000000001,3.54,-841.28,13.2,-537.92,24.66,-0.0029,0.0274,2.57,-0.0015,0.0142,1330990.0
394,BIDI11,29.65,88.58,3.17,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,33250900.0
395,LINX3,22.47,109.48,2.38,5.4,0.0062,1.66,4.58,28.11,8.09,23.87,13.33,0.1921,0.0493,3.51,0.0969,0.0217,48497700.0
396,LOGN3,12.93,121.06,4.25,1.28,0.0,0.705,2.32,12.38,-1.97,17.83,9.35,0.1035,0.0106,2.76,0.09699999999999999,0.0351,29469200.0
397,LWSA3,19.96,138.26,28.28,6.477,0.0,4.861000000000001,-40.48,53.46,-10.02,56.76,26.35,0.1212,0.0469,0.74,0.0998,0.2046,26382200.0
398,STBP3,4.0,174.26,1.98,2.755,0.0011,0.838,7.39,45.07,-2.15,45.26,13.79,0.0611,0.0158,2.54,0.0219,0.0114,23025600.0
399,RDNI3,6.84,186.07,0.49,0.9359999999999999,0.0,0.207,0.73,20.39,-1.33,41.01,31.46,0.0459,0.0039,3.14,0.0111,0.0026,628585.0
400,OMGE3,30.23,189.25,1.82,5.065,0.0,0.7070000000000001,5.45,14.4,-1.64,22.86,15.0,0.3518,0.0322,3.81,0.0575,0.0096,21286400.0
401,NTCO3,28.98,221.36,10.24,2.3819999999999997,0.0,1.624,18.0,21.37,-4.1,24.63,14.54,0.1115,0.0108,1.25,0.1165,0.0462,323758000.0
402,BEEF3,8.63,259.37,-14.88,0.245,0.0,0.317,1.59,2.86,-0.8,6.95,5.89,0.0856,0.0009,1.47,0.1981,-0.0574,77868500.0
403,DASA3,75.0,289.0,11.02,8.262,0.0049,4.08,50.63,90.46,-10.92,95.35,43.91,0.0913,0.0298,1.46,0.0527,0.0381,16635.1
404,ALSO3,26.82,323.6,1.11,9.591000000000001,0.0049,0.654,5.47,17.14,-3.86,14.25,11.08,0.5597,0.0762,6.44,0.043,0.0034,69164000.0
405,GBIO33,9.6,639.13,1.38,1.3769999999999998,0.0,0.821,6.94,8.65,18.41,9.85,9.85,0.1592,0.0022,1.36,0.1187,0.0022,1851770.0
406,CEPE6,19.3,7941.74,883.96,236.63,0.0705,181.34099999999998,734325.0,2073.54,-334.28,2079.88,1502.91,0.1141,0.0298,1.0,0.0988,0.1113,537.14
407,CEPE5,25.11,10332.5,1150.06,307.865,0.0492,235.93099999999998,955384.0,2697.75,-434.91,2704.09,1953.96,0.1141,0.0298,1.0,0.0988,0.1113,1027.76
408,FRTA3,5.39,18066.9,-158.68,1130.01,0.0,330.533,-135.81,-4101.13,-110.38,-4121.61,-5972.37,-0.2755,0.0625,0.04,-0.0933,-0.0088,225018.0
